Matrix,1950,1955,1960,1965,1970,1975,1980,1985,1990
Cape Verde,5.1165700175,6.250194613333333,7.521743799166666,8.27956895,9.094302216666666,9.012052733333332,8.944246783333334,8.491633683333333,8.757163599999998
Mayotte,5.211305108333333,6.834913189166667,7.846576385833332,8.567208274999999,8.904232591666666,9.411137441666666,9.449675091666666,8.899719133333333,8.202809943333332
Tajikistan,5.087049323333333,5.182242033333333,6.567201665833332,8.382992074999999,8.784651683333333,8.22895655,7.390982547499999,7.110787741666667,7.262332496666667
Uzbekistan,4.873157786666667,5.038352449166666,6.502491619999999,8.179900534166666,8.554251475,7.8293123033333325,6.9623189624999995,6.634272585,6.6594641333333335
Suriname,6.968390804999999,7.5641025641666655,8.809523808333333,9.010712033333332,9.017238149999999,8.793427683333332,6.4992176116666664,5.481825095833333,4.9919269275
Bahrain,6.828652571666667,6.924268636666666,6.999692736666667,9.3368621,7.776487351666667,6.851104184166666,4.805582258333333,4.220060680833333,4.1973374775
Martinique,6.109366823333333,6.783234126666667,7.231864708333333,7.944023569166667,7.172995780833333,7.0717131475,5.0010465825,4.505119899166666,4.044860236666667
Guadeloupe,6.4265536725,6.97265625,7.684665731666667,7.756202804999999,7.428940568333333,7.458697765,5.448427315,4.7941883533333325,3.95749919
Aruba,6.721415535833334,7.041384659166667,7.093401691666667,6.8278151666666655,5.916845423333333,4.872369938333333,4.038603848333333,3.7403859283333336,3.7981766566666666
Macao China,3.8352363866666668,5.4313432925,7.111561683333333,7.447909082499999,6.230174385,4.433486280833333,3.7095299791666663,3.814686235,3.8125951666666666
