Matrix,1971,1975,1979,1983,1987,1991,1995,1999,2003,2007
Canada,8753.164288,10113.1552,11928.91671,12792.80995,14723.19268,15014.43853,15087.62598,15056.96935,15558.1526,15067.18827
Sweden,7461.771746,8748.77287,10278.53737,11483.95875,14181.54353,14079.07086,14033.56224,14209.40161,14432.76291,14517.14287
Finland,4683.717879,5671.050505,7441.697399,8647.94055,10745.83325,11787.02794,12778.28802,14399.76161,15538.67424,16481.85503
Qatar,2578.690752,3778.735893,8281.960715,10374.28802,10324.28787,8684.874824,8131.717123,10064.28813,12446.98041,18218.08441
Bahrain,1908.274653,2705.393197,4386.780492,5639.376116,5715.792016,5740.172931,7480.75304,8783.626079,10749.22408,15087.96415
Kuwait,2181.117943,2533.001553,3337.769316,4030.557624,4600.383719,6858.166279,9385.28044,10619.96267,11307.20207,12195.08261
Brunei,1573.979842,1382.887795,1207.602502,2862.453312,3828.915987,3897.240002,5910.148433,7141.558641,7641.74187,8060.729708
Taiwan,898.9789333,1281.384258,1968.419142,2235.584393,2954.706961,4137.13319,5300.672328,6608.016895,8018.830202,9178.544133
Singapore,988.8664963,1425.607929,2096.034865,2502.622919,3435.515897,4285.291607,5163.69865,6335.707923,7039.726627,7681.578104
Korea Rep.,280.0735164,471.4433661,829.9303591,1068.120065,1541.986219,2409.915394,3607.698433,4561.224393,6599.674471,7977.573435
